rank,model,overall,level_1,level_2,level_3,level_4,level_5,level_6,render_success_rate,render_failures
1,Claude Opus 4.8,0.7519593253968254,0.8,0.8375,0.825,0.6020833333333333,0.825,0.6221726190476191,0.9666666666666667,8
2,Claude Sonnet 5,0.7273313492063491,0.8,0.7875,0.7583333333333333,0.5958333333333333,0.8416666666666666,0.5806547619047618,0.9875,3
3,GPT-5.5,0.6692460317460317,0.8,0.8375,0.75,0.6833333333333333,0.475,0.46964285714285714,0.85,36
4,Claude Sonnet 4.6,0.6418154761904762,0.775,0.7875,0.7416666666666667,0.60625,0.6583333333333333,0.28214285714285714,0.8916666666666667,26
5,GPT-5.6 Terra,0.6006448412698412,0.8,0.8125,0.775,0.6125,0.4895833333333333,0.11428571428571428,0.7791666666666667,53
6,Claude Haiku 4.5,0.5994543650793651,0.8,0.7125,0.725,0.5208333333333333,0.5395833333333333,0.2988095238095238,0.8791666666666667,29
7,GPT-OSS-120B,0.5938740079365079,0.8,0.8125,0.7583333333333333,0.5604166666666667,0.4479166666666667,0.18407738095238096,0.8875,27
8,GPT-5.6 Sol,0.5827380952380953,0.775,0.8375,0.7,0.5375,0.4833333333333333,0.1630952380952381,0.7666666666666667,56
9,Gemma 4 31B,0.5762400793650794,0.8,0.75,0.7583333333333333,0.5270833333333333,0.40625,0.21577380952380953,0.8583333333333333,34
10,GPT-5.6 Luna,0.5639880952380952,0.75,0.8125,0.775,0.625,0.37083333333333335,0.050595238095238096,0.7541666666666667,59
11,Qwen3-Coder-Next,0.4718253968253968,0.8,0.775,0.6833333333333333,0.3625,0.125,0.08511904761904762,0.7041666666666667,71
